,fullName,activities
0,Abraham Lincoln Birthplace National Historical Park,"Astronomy, Stargazing, Food, Picnicking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
1,Acadia National Park,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Camping, Group Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Ice Skating, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
2,Adams National Historical Park,"Guided Tours, Living History, First Person Interpretation, Park Film, Shopping, Bookstore and Park Store"
3,African American Civil War Memorial,"Guided Tours, Self-Guided Tours - Walking"
4,African Burial Ground National Monument,"Arts and Culture, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
5,Agate Fossil Beds National Monument,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
6,Ala Kahakai National Historic Trail,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Compass and GPS, Geocaching, Orienteering, Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching"
7,Alagnak Wild River,"Boating, Camping, Backcountry Camping, Fishing, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Kayaking, Whitewater Rafting, Wildlife Watching, Birdwatching"
8,Alaska Public Lands,
9,Alcatraz Island,"Food, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
10,Aleutian Islands World War II National Historic Area,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits"
11,Alibates Flint Quarries National Monument,"Arts and Culture, Craft Demonstrations, Camping, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits"
12,Allegheny Portage Railroad National Historic Site,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Road Biking, Hands-On, Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
13,American Memorial Park,"Arts and Culture, Live Music, Theater, Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Surfing, Museum Exhibits"
14,Amistad National Recreation Area,"Boating, Motorized Boating, Jet Skiing, Camping, Backcountry Camping, Group Camping, RV Camping, Fishing, Freshwater Fishing, Hiking, Hunting and Gathering, Hunting, Paddling, Junior Ranger Program, SCUBA Diving, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
15,Anacostia Park,"Biking, Road Biking, Boating, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Paddling, Canoeing, Kayaking, Playground, Team Sports, Wildlife Watching"
16,Andersonville National Historic Site,"Auto and ATV, Scenic Driving, Camping, Group Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
17,Andrew Johnson National Historic Site,"Guided Tours, Junior Ranger Program, Museum Exhibits"
18,Aniakchak National Monument & Preserve,"Camping, Backcountry Camping, Climbing, Mountain Climbing, Flying, Hiking, Backcountry Hiking, Paddling, Whitewater Rafting, Wildlife Watching, Birdwatching"
19,Antietam National Battlefield,"Biking, Road Biking, Camping, Group Camping, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
20,Apostle Islands National Lakeshore,"Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, Fishing, Freshwater Fishing, Guided Tours, Boat Tour, Hiking, Hunting and Gathering, Hunting, Paddling, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, SCUBA Diving, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
21,Appalachian National Scenic Trail,"Astronomy, Stargazing, Camping, Backcountry Camping, Compass and GPS, Orienteering, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Snowshoeing, Wildlife Watching, Birdwatching"
22,Appomattox Court House National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
23,Arches National Park,"Arts and Culture, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Canyoneering, Climbing, Rock Climbing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Shopping, Bookstore and Park Store"
24,Arkansas Post National Memorial,"Arts and Culture, Cultural Demonstrations, Boating, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
25,"Arlington House, The Robert E. Lee Memorial","Guided Tours, Self-Guided Tours - Walking, Museum Exhibits"
26,Assateague Island National Seashore,"Arts and Culture, Auto and ATV, Auto Off-Roading, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Compass and GPS, Geocaching, Fishing, Saltwater Fishing, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
27,Aztec Ruins National Monument,"Arts and Culture, Cultural Demonstrations, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
28,Badlands National Park,"Auto and ATV, Scenic Driving, Astronomy, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Compass and GPS, Food, Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
29,Baltimore-Washington Parkway,"Auto and ATV, Scenic Driving"
30,Bandelier National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
31,Belmont-Paul Women's Equality National Monument,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
32,Bent's Old Fort National Historic Site,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Biking, Road Biking, Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
33,Bering Land Bridge National Preserve,"Camping, Backcountry Camping, Dog Sledding, Flying, Fixed Wing Flying, Hiking, Backcountry Hiking, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Snowmobiling, Wildlife Watching, Birdwatching"
34,Big Bend National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Fishing, Food, Guided Tours, Hiking, Backcountry Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching"
35,Big Cypress National Preserve,"Arts and Culture, Cultural Demonstrations, Auto and ATV, ATV Off-Roading, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
36,Big Hole National Battlefield,"Arts and Culture, Cultural Demonstrations, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
37,Big South Fork National River & Recreation Area,"Arts and Culture, Astronomy, Stargazing, Biking, Mountain Biking, Boating, Camping, Backcountry Camping, Horse Camping (see also Horse/Stock Use), RV Camping, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Food, Picnicking, Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Junior Ranger Program, Tubing, Swimming, Pool Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
38,Big Thicket National Preserve,"Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Hands-On, Citizen Science, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
39,Bighorn Canyon National Recreation Area,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Boating, Motorized Boating, Sailing, Jet Skiing, Boat Tour, Camping, Compass and GPS, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Playground, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
40,Birmingham Civil Rights National Monument,"Guided Tours, Self-Guided Tours - Walking, Museum Exhibits"
41,Biscayne National Park,"Boating, Motorized Boating, Sailing, Boat Tour, Camping, Fishing, Guided Tours, Boat Tour, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
42,Black Canyon Of The Gunnison National Park,"Camping, Climbing, Fishing, Hiking, Backcountry Hiking, Horse Trekking, Horseback Riding, Paddling, Kayaking, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching"
