fullName,description,latitude,longitude,activities,states,name,designation
Abraham Lincoln Birthplace National Historical Park,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",37.5858662,-85.67330523,"['Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']",KY,Abraham Lincoln Birthplace,National Historical Park
Acadia National Park,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",44.409286,-68.247501,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']",ME,Acadia,National Park
Adams National Historical Park,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,"['Guided Tours', 'Living History', 'First Person Interpretation', 'Park Film', 'Shopping', 'Bookstore and Park Store']",MA,Adams,National Historical Park
African American Civil War Memorial,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",38.9166,-77.026,"['Guided Tours', 'Self-Guided Tours - Walking']",DC,African American Civil War Memorial,
African Burial Ground National Monument,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,40.71452681,-74.00447358,"['Arts and Culture', 'Guided Tours', 'Junior Ranger Program', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",NY,African Burial Ground,National Monument
Agate Fossil Beds National Monument,"During the 1890s, scientists rediscovered what the Lakota Sioux already knew—bones preserved in one of the world's most significant Miocene Epoch mammal sites. Yet, this place called ""Agate"" is a landscape that reflects many influences—from early animals roaming the valleys and hills, to tribal nations calling the High Plains home, to explorers passing through or settling in the American West.",42.42170419,-103.753886,"['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']",NE,Agate Fossil Beds,National Monument
Ala Kahakai National Historic Trail,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!",19.14466811,-155.8907343,"['Arts and Culture', 'Cultural Demonstrations', 'Auto and ATV', 'Scenic Driving', 'Biking', 'Mountain Biking', 'Road Biking', 'Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Canoe or Kayak Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Compass and GPS', 'Geocaching', 'Orienteering', 'Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Arts and Crafts', 'Hiking', 'Front-Country Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Surfing', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching']",HI,Ala Kahakai,National Historic Trail
Alagnak Wild River,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",59.05180188,-156.112002,"['Boating', 'Camping', 'Backcountry Camping', 'Fishing', 'Hunting and Gathering', 'Hunting', 'Paddling', 'Canoe or Kayak Camping', 'Kayaking', 'Whitewater Rafting', 'Wildlife Watching', 'Birdwatching']",AK,Alagnak,Wild River
Alaska Public Lands,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",61.2188,-149.894536,[],AK,Alaska Public Lands,
Alcatraz Island,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,"['Food', 'Wildlife Watching', 'Birdwatching', 'Shopping', 'Bookstore and Park Store']",CA,Alcatraz Island,
