Year,Recreation Visitors,name
1956,5700.0,Thomas Edison
1957,15000.0,Thomas Edison
1958,18800.0,Thomas Edison
1959,20400.0,Thomas Edison
1960,23800.0,Thomas Edison
1961,28500.0,Thomas Edison
1962,33600.0,Thomas Edison
1963,32600.0,Thomas Edison
1964,40600.0,Thomas Edison
1965,45100.0,Thomas Edison
1966,48600.0,Thomas Edison
1967,50400.0,Thomas Edison
1968,53500.0,Thomas Edison
1969,48700.0,Thomas Edison
1970,55900.0,Thomas Edison
1971,55900.0,Thomas Edison
1972,57772.0,Thomas Edison
1973,58700.0,Thomas Edison
1974,47500.0,Thomas Edison
1975,52600.0,Thomas Edison
1976,54600.0,Thomas Edison
1977,52400.0,Thomas Edison
1978,49661.0,Thomas Edison
1979,52999.0,Thomas Edison
1980,44695.0,Thomas Edison
1981,44514.0,Thomas Edison
1982,43927.0,Thomas Edison
1983,39121.0,Thomas Edison
1984,40796.0,Thomas Edison
1985,32599.0,Thomas Edison
1986,37916.0,Thomas Edison
1987,41778.0,Thomas Edison
1988,55832.0,Thomas Edison
1989,62103.0,Thomas Edison
1990,55872.0,Thomas Edison
1991,63231.0,Thomas Edison
1992,74883.0,Thomas Edison
1993,61621.0,Thomas Edison
1994,58050.0,Thomas Edison
1995,55760.0,Thomas Edison
1996,53603.0,Thomas Edison
1997,67659.0,Thomas Edison
1998,61330.0,Thomas Edison
1999,26010.0,Thomas Edison
2000,12863.0,Thomas Edison
2001,54419.0,Thomas Edison
2002,54935.0,Thomas Edison
2003,3359.0,Thomas Edison
2004,0.0,Thomas Edison
2005,0.0,Thomas Edison
2006,8753.0,Thomas Edison
2007,9342.0,Thomas Edison
2008,8027.0,Thomas Edison
2009,27061.0,Thomas Edison
2010,63009.0,Thomas Edison
2011,55284.0,Thomas Edison
2012,52554.0,Thomas Edison
2013,46677.0,Thomas Edison
2014,51344.0,Thomas Edison
2015,56317.0,Thomas Edison
2016,57694.0,Thomas Edison
2017,59323.0,Thomas Edison
2018,47297.0,Thomas Edison
2019,42224.0,Thomas Edison
2020,7605.0,Thomas Edison
1920,5000.0,Scotts Bluff
1921,6000.0,Scotts Bluff
1922,6000.0,Scotts Bluff
1923,20000.0,Scotts Bluff
1924,35000.0,Scotts Bluff
1925,24000.0,Scotts Bluff
1926,27000.0,Scotts Bluff
1927,30000.0,Scotts Bluff
1928,37500.0,Scotts Bluff
1929,42500.0,Scotts Bluff
1930,48500.0,Scotts Bluff
1931,48000.0,Scotts Bluff
1932,45000.0,Scotts Bluff
1933,49500.0,Scotts Bluff
1934,30000.0,Scotts Bluff
1936,51038.0,Scotts Bluff
1937,55921.0,Scotts Bluff
1938,96450.0,Scotts Bluff
1939,82305.0,Scotts Bluff
1940,108536.0,Scotts Bluff
1941,73955.0,Scotts Bluff
1942,39631.0,Scotts Bluff
1943,34110.0,Scotts Bluff
1944,25982.0,Scotts Bluff
1945,33490.0,Scotts Bluff
1946,56367.0,Scotts Bluff
1947,48900.0,Scotts Bluff
1948,50220.0,Scotts Bluff
1949,57069.0,Scotts Bluff
1950,60344.0,Scotts Bluff
1951,56542.0,Scotts Bluff
1952,47110.0,Scotts Bluff
1953,50706.0,Scotts Bluff
1954,57700.0,Scotts Bluff
1955,54900.0,Scotts Bluff
1956,73700.0,Scotts Bluff
1957,79200.0,Scotts Bluff
1958,82200.0,Scotts Bluff
1959,95800.0,Scotts Bluff
1960,91500.0,Scotts Bluff
1961,92300.0,Scotts Bluff
1962,96300.0,Scotts Bluff
1963,99900.0,Scotts Bluff
1964,89700.0,Scotts Bluff
1965,106500.0,Scotts Bluff
1966,107500.0,Scotts Bluff
1967,124100.0,Scotts Bluff
1968,133800.0,Scotts Bluff
1969,125000.0,Scotts Bluff
1970,130000.0,Scotts Bluff
1971,127700.0,Scotts Bluff
1972,140295.0,Scotts Bluff
1973,157000.0,Scotts Bluff
1974,166900.0,Scotts Bluff
1975,174300.0,Scotts Bluff
1976,213300.0,Scotts Bluff
1977,204000.0,Scotts Bluff
1978,217522.0,Scotts Bluff
1979,173291.0,Scotts Bluff
1980,109520.0,Scotts Bluff
1981,150183.0,Scotts Bluff
1982,170175.0,Scotts Bluff
1983,151984.0,Scotts Bluff
